,Cena,Kvadratura,Sprat,Uknjizeno,Parking,Lift,Distance
0,68000,0.1487603305785124,0.08108108108108109,1,1,1,0.031067115289575828
1,115000,0.3305785123966942,0.02702702702702703,1,0,0,0.04496454190658433
5,199000,0.45041322314049587,0.10810810810810811,1,0,0,0.01057770874440825
6,69657,0.13636363636363635,0.02702702702702703,1,0,1,0.016910526857023836
7,69657,0.13636363636363635,0.02702702702702703,1,0,1,0.016910526857023836
8,230000,0.3512396694214876,0.05405405405405406,1,0,0,0.006156129770443392
9,306000,0.2768595041322314,0.10810810810810811,1,0,1,0.006200762835713511
10,115000,0.2396694214876033,0.2972972972972973,0,0,1,0.014629980640930514
11,95000,0.16942148760330578,0.02702702702702703,1,0,0,0.04286387375214925
12,189000,0.7479338842975207,0.13513513513513514,0,0,0,0.07130127047034941
13,61230,0.19421487603305787,0.08108108108108109,0,1,0,0.11867299112757215
14,83000,0.30165289256198347,0.10810810810810811,1,1,0,0.02725112648796137
15,240,0.10743801652892562,0.05405405405405406,0,0,0,0.04496454190658433
16,59000,0.15702479338842976,0.05405405405405406,0,1,0,0.04496454190658433
17,182000,0.26859504132231404,0.1891891891891892,1,0,1,0.0077920241328414235
18,96640,0.19834710743801653,0.08108108108108109,0,0,1,0.04286387375214925
19,103300,0.2272727272727273,0.08108108108108109,1,1,0,0.04286387375214925
20,90000,0.2272727272727273,0.02702702702702703,1,1,0,0.01598373497428315
21,165000,0.3305785123966942,0.05405405405405406,1,0,0,0.01071310517047668
22,74490,0.15702479338842976,0.08108108108108109,0,0,1,0.04286387375214925
23,81000,0.1652892561983471,0.05405405405405406,0,0,1,0.04286387375214925
24,36000,0.0743801652892562,0.05405405405405406,0,0,1,0.04286387375214925
25,56000,0.11570247933884298,0.05405405405405406,0,0,1,0.04286387375214925
26,102600,0.23553719008264462,0.05405405405405406,0,0,0,0.04286387375214925
27,77400,0.17768595041322316,0.02702702702702703,0,0,0,0.04286387375214925
28,77400,0.17768595041322316,0.08108108108108109,0,0,0,0.04286387375214925
29,170000,0.371900826446281,0.05405405405405406,0,0,0,0.04286387375214925
30,102600,0.23553719008264462,0.08108108108108109,0,0,0,0.04286387375214925
31,55575,0.11570247933884298,0.08108108108108109,0,1,1,0.04286387375214925
32,120000,0.1652892561983471,0.02702702702702703,0,0,1,0.013846491337643731
33,118550,0.19421487603305787,0.13513513513513514,0,0,1,0.013846491337643731
34,130400,0.21487603305785125,0.08108108108108109,0,0,1,0.013846491337643731
35,180000,0.21074380165289258,0.10810810810810811,0,0,0,0.014263756149671618
36,162560,0.24793388429752067,0.10810810810810811,0,1,1,0.014263756149671618
37,174900,0.2727272727272727,0.02702702702702703,0,0,0,0.014263756149671618
38,360000,0.4256198347107438,0.10810810810810811,1,0,1,0.004996728480171765
39,225000,0.3223140495867769,0.21621621621621623,1,0,0,0.009606345181697519
40,95000,0.12396694214876033,0.02702702702702703,1,0,1,0.004101665440535766
41,190000,0.2975206611570248,0.05405405405405406,1,0,0,0.008279603424420258
42,290000,0.3305785123966942,0.10810810810810811,1,0,0,0.006200762835713511
43,175000,0.26859504132231404,0.1891891891891892,0,0,1,0.009713397858023139
44,233000,0.2024793388429752,0.08108108108108109,0,0,1,0.0011585627349632861
45,90000,0.14462809917355374,0.05405405405405406,1,0,0,0.009685155908788875
46,139000,0.2190082644628099,0.08108108108108109,1,0,0,0.014541743493166396
47,290000,0.34297520661157027,0.10810810810810811,1,0,1,0.001946356322707817
48,82000,0.15702479338842976,0.02702702702702703,0,1,0,0.01981729713170911
49,92000,0.2066115702479339,0.08108108108108109,1,1,0,0.01144642579448198
50,109000,0.1487603305785124,0.10810810810810811,1,1,1,0.008279603424420258
51,527000,0.47107438016528924,0.5405405405405406,0,1,1,0.004279155544604983
53,100100,0.21487603305785125,0.05405405405405406,0,0,0,0.01598373497428315
55,155000,0.3305785123966942,0.10810810810810811,1,1,0,0.016092905866174696
56,375000,0.6487603305785125,0.02702702702702703,1,1,0,0.009735694710630984
57,83000,0.1487603305785124,0.08108108108108109,1,0,0,0.021589149733401425
58,210000,0.26859504132231404,0.02702702702702703,1,0,1,0.0035069419145212486
59,140000,0.2644628099173554,0.02702702702702703,0,0,0,0.009713397858023139
60,358557,0.4545454545454546,0.13513513513513514,0,0,1,0.005925203379395366
61,164000,0.28512396694214875,0.10810810810810811,1,0,1,0.01281413621517169
62,110000,0.14049586776859505,0.10810810810810811,0,0,1,0.005925203379395366
63,78900,0.15702479338842976,0.08108108108108109,0,0,1,0.01598373497428315
64,160000,0.34710743801652894,0.13513513513513514,0,0,1,0.01598373497428315
65,192000,0.3305785123966942,0.10810810810810811,1,0,1,0.01281413621517169
66,205000,0.25619834710743805,0.10810810810810811,1,0,1,0.002235837785487181
67,143000,0.21487603305785125,0.16216216216216217,1,0,1,0.004101665440535766
68,175000,0.30991735537190085,0.02702702702702703,1,0,0,0.015964108003108154
69,370000,0.3760330578512397,0.05405405405405406,1,1,1,0.005996416938834938
70,199000,0.34710743801652894,0.10810810810810811,0,0,1,0.015675573711687957
71,145000,0.25619834710743805,0.10810810810810811,1,0,0,0.031067115289575828
72,119000,0.3305785123966942,0.16216216216216217,1,0,1,0.01598373497428315
73,220000,0.4545454545454546,0.13513513513513514,0,0,0,0.005925203379395366
74,178000,0.2727272727272727,0.08108108108108109,1,0,1,0.018102969803351417
