index,Cena,Kvadratura,Sprat,Distance
264,250000,96,4,4.55448839110725
265,150000,46,1,1.1112000210374295
266,599492,157,3,1.9138565937883534
267,501289,131,3,1.9138565937883534
268,300000,98,2,1.5488422161721425
269,164000,73,2,5.1341397107445985
270,165000,80,1,4.304899319797302
271,79800,33,0,7.212888553561136
272,190000,76,1,3.9932622144311636
273,205000,61,4,2.698707855040707
274,88000,40,-1,2.4358488943593373
275,169000,56,3,3.8046748802068664
276,280000,80,5,2.8392736147746835
277,310000,90,3,2.534945943790705
278,164000,55,4,1.367245700987994
279,400000,100,2,1.8545878532089057
280,228270,65,0,1.367245700987994
281,177500,56,4,2.8979650008593345
282,320000,86,3,1.9138565937883534
283,303360,95,2,1.367245700987994
284,465360,122,3,1.9138565937883534
285,521258,137,3,1.9138565937883534
286,549016,144,3,1.9138565937883534
287,142800,41,1,2.534945943790705
288,157700,45,1,2.534945943790705
289,149000,54,3,5.586004149548912
290,86625,45,1,5.9291674812237805
291,78000,42,-1,3.9932622144311636
292,81950,55,1,5.9291674812237805
293,270000,111,4,2.698707855040707
294,399000,130,1,2.52955385182448
295,401500,73,1,1.367245700987994
296,735968,212,8,1.1112000210374295
297,537888,124,5,1.1112000210374295
298,145000,40,4,3.4133918322367123
299,256400,78,7,2.4358488943593373
300,63500,30,0,5.9291674812237805
301,280000,70,0,2.1042506912594936
302,205000,50,4,1.8545878532089057
303,240000,80,1,1.367245700987994
304,123000,65,0,2.038335088218665
305,95000,40,0,4.284947055838429
306,179900,55,2,3.4133918322367123
307,185000,78,2,5.586004149548912
308,310480,101,0,2.698707855040707
309,310000,112,3,1.8545878532089057
310,244000,85,6,0.6741943298916431
311,163350,55,0,2.836801079475314
312,117000,54,3,5.9291674812237805
313,47000,23,0,5.9291674812237805
314,121000,55,1,4.487668778269208
315,140000,94,4,4.443990198890572
316,85000,46,0,0.6741943298916431
317,890000,231,5,1.253629233296969
318,305000,51,15,1.1112000210374295
319,223300,77,2,2.1042506912594936
320,536888,79,18,1.1112000210374295
321,543900,111,15,1.1112000210374295
322,190000,77,2,0.6741943298916431
323,300000,56,8,1.1112000210374295
324,353888,81,1,1.1112000210374295
325,459000,81,7,1.1112000210374295
326,519900,118,10,1.1112000210374295
327,58000,15,7,0.8769859073960617
328,1272888,199,21,1.1112000210374295
329,1523888,223,2,1.1112000210374295
330,271888,80,4,1.1112000210374295
331,750000,108,14,1.1112000210374295
332,365000,100,4,1.6357321765588402
333,78900,27,3,4.443990198890572
334,110000,33,6,3.39577391009416
335,281249,86,6,2.4358488943593373
336,312080,95,5,2.4358488943593373
337,342290,105,4,2.4358488943593373
338,125000,60,3,5.9291674812237805
339,240000,92,4,5.522942064782104
340,263000,138,2,3.39577391009416
341,175000,67,1,0.5130016008346824
342,150000,58,1,0.5130016008346824
343,358557,110,4,2.4358488943593373
344,67000,29,-1,3.9932622144311636
345,217000,74,2,3.2266491406631235
346,225000,150,3,5.9291674812237805
347,86000,40,3,5.9291674812237805
348,84800,39,2,4.304899319797302
349,155000,79,3,5.522942064782104
350,120000,57,0,5.9291674812237805
351,86000,37,0,5.522942064782104
352,122000,60,4,5.9291674812237805
353,290000,55,14,1.1112000210374295
354,331720,82,6,2.4358488943593373
355,292281,88,2,2.4358488943593373
356,305566,88,3,2.4358488943593373
357,280434,84,2,2.4358488943593373
358,314423,88,4,2.4358488943593373
359,395000,150,4,3.3459803855452006
360,126000,42,7,3.8324414104227666
361,450000,93,4,1.1112000210374295
362,800000,120,13,1.1112000210374295
363,199000,80,8,0.0
364,650000,125,2,2.1042506912594936
365,323000,106,4,2.038335088218665
366,635000,127,3,2.1042506912594936
367,250000,62,2,1.5690536769939698
368,270000,67,5,4.949355181661503
369,220000,110,4,1.6625786996508616
370,300000,116,3,0.0
371,155000,103,1,4.284947055838429
372,70000,18,-1,3.3459803855452006
373,260000,58,1,1.1112000210374295
374,305000,95,2,2.1042506912594936
375,137000,81,4,5.9291674812237805
376,159000,58,5,1.4345129655594104
377,165000,70,1,1.253629233296969
378,350000,101,1,2.1042506912594936
379,210000,106,2,3.5695249238901785
380,190000,70,0,3.39577391009416
381,140000,60,4,0.8769859073960617
382,250000,147,2,3.3459803855452006
383,116820,52,1,4.949355181661503
384,57000,19,0,2.4358488943593373
385,85000,37,0,5.9291674812237805
386,120000,48,1,4.284947055838429
387,87000,40,3,5.9291674812237805
388,149600,68,1,4.949355181661503
389,370000,83,2,1.1112000210374295
390,90000,24,0,2.4358488943593373
391,115000,53,1,7.212888553561136
392,77900,37,0,5.9291674812237805
393,67000,30,-1,4.443990198890572
394,342000,105,4,2.4358488943593373
395,150000,40,4,3.8046748802068664
396,270888,55,7,1.1112000210374295
397,1176888,199,14,1.1112000210374295
398,470888,122,8,1.1112000210374295
399,455888,121,7,1.1112000210374295
400,433888,117,8,1.1112000210374295
401,130000,61,5,5.9291674812237805
402,419000,178,3,3.2266491406631235
403,97000,57,1,5.9291674812237805
404,70520,43,0,7.212888553561136
405,811888,156,4,1.1112000210374295
406,482888,81,1,1.1112000210374295
407,838888,141,4,1.1112000210374295
408,548888,81,4,1.1112000210374295
409,450000,63,2,1.1112000210374295
410,62000,40,0,5.9291674812237805
411,176000,83,4,3.5695249238901785
412,107873,58,1,5.9291674812237805
413,348888,79,9,1.1112000210374295
414,734888,118,18,1.1112000210374295
415,177888,33,2,1.1112000210374295
416,195000,117,2,5.9291674812237805
417,135000,71,3,5.9291674812237805
418,120000,52,1,4.284947055838429
419,83000,40,2,5.729823400371799
420,102000,50,4,5.9291674812237805
421,1165888,200,10,1.1112000210374295
422,405000,90,1,1.1112000210374295
423,331800,79,1,1.1112000210374295
424,888000,222,8,1.1112000210374295
425,470000,120,0,2.1042506912594936
426,519900,118,10,1.1112000210374295
427,90000,173,3,7.212888553561136
428,81200,29,1,3.9932622144311636
429,140000,50,2,3.9932622144311636
430,204400,73,1,3.9932622144311636
431,416900,84,11,1.1112000210374295
432,375000,83,2,1.1112000210374295
433,75000,50,-1,5.9291674812237805
434,175000,110,0,3.39577391009416
435,97740,54,1,5.9291674812237805
436,115000,55,8,3.8046748802068664
437,177000,78,1,3.156932759050026
438,499999,81,4,1.1112000210374295
439,139000,66,0,4.443990198890572
440,119000,79,3,5.9291674812237805
441,129990,65,3,5.764572563261512
442,75000,55,-1,4.284947055838429
443,124900,61,4,5.9291674812237805
444,131400,73,2,5.9291674812237805
445,499000,168,3,2.1042506912594936
446,480000,178,2,2.1042506912594936
447,114000,57,1,4.487668778269208
448,133420,40,4,3.3459803855452006
449,46500,31,-1,3.39577391009416
450,105000,50,3,5.9291674812237805
451,78000,33,0,6.81666885449004
452,189000,148,4,5.9291674812237805
453,210000,120,0,1.4020012964057034
454,243000,98,0,3.3001078013063476
455,109150,59,0,5.9291674812237805
456,70300,38,1,5.9291674812237805
457,64750,35,1,5.9291674812237805
458,139000,89,5,5.9291674812237805
459,219000,64,1,2.4358488943593373
460,280000,112,1,2.4358488943593373
461,532888,137,5,1.1112000210374295
462,448888,121,5,1.1112000210374295
463,271888,77,1,1.1112000210374295
464,442888,116,5,1.1112000210374295
465,59200,32,4,5.9291674812237805
466,74000,40,4,5.9291674812237805
467,66600,36,4,5.9291674812237805
468,74000,40,1,5.9291674812237805
469,109150,59,1,5.9291674812237805
470,109150,59,4,5.9291674812237805
471,109150,59,1,5.9291674812237805
472,83250,45,2,5.9291674812237805
473,77700,42,1,5.9291674812237805
474,1479888,162,14,1.1112000210374295
475,442888,116,5,1.1112000210374295
476,404888,115,2,1.1112000210374295
477,65000,32,0,2.979460136275314
478,320400,89,0,2.4358488943593373
479,250000,150,2,5.9291674812237805
480,210800,124,3,4.443990198890572
481,170000,80,4,3.5695249238901785
482,234000,65,1,2.4358488943593373
483,350000,197,2,4.443990198890572
484,330000,150,6,2.4358488943593373
485,355888,94,1,1.1112000210374295
486,150000,52,3,2.1042506912594936
487,105000,39,0,1.253629233296969
488,62400,39,1,5.9291674812237805
489,238545,106,5,3.9932622144311636
490,54400,34,3,5.9291674812237805
491,85000,44,1,5.9291674812237805
492,58000,33,3,5.9291674812237805
493,40800,25,2,5.9291674812237805
494,110000,50,0,5.9291674812237805
495,246500,145,0,3.283842350280459
496,239000,126,7,1.3840965110666832
497,434888,117,1,1.1112000210374295
498,124000,48,1,4.284947055838429
499,142800,72,5,5.9291674812237805
500,395000,123,4,3.39577391009416
501,210800,124,4,4.443990198890572
502,250000,75,0,4.304899319797302
503,250000,126,2,3.5695249238901785
504,95000,68,5,5.9291674812237805
505,290000,165,7,2.836801079475314
506,150000,95,4,5.9291674812237805
507,84000,50,0,5.9291674812237805
508,85000,48,-1,3.39577391009416
509,280000,165,6,2.836801079475314
510,129000,43,4,2.4358488943593373
511,210000,124,3,4.443990198890572
512,135000,120,2,4.949355181661503
513,320000,191,0,5.9291674812237805
514,468600,142,0,2.1042506912594936
515,236520,66,1,2.4358488943593373
516,320000,190,0,5.9291674812237805
517,150000,95,4,5.729823400371799
518,69900,61,-1,5.9291674812237805
519,229950,66,0,2.4358488943593373
520,360000,110,4,2.4358488943593373
521,320000,190,0,5.9291674812237805
522,132300,63,4,5.9291674812237805
523,281000,86,6,2.4358488943593373
524,312000,95,5,2.4358488943593373
525,93000,42,1,5.764572563261512
526,188100,104,1,3.8324414104227666
527,103000,52,0,5.9291674812237805
528,199990,62,4,3.3459803855452006
529,131470,42,0,3.3459803855452006
530,215000,66,0,2.4358488943593373
531,103100,59,1,5.9291674812237805
532,145000,53,1,6.81666885449004
533,180000,65,0,2.979460136275314
534,192000,60,4,4.949355181661503
535,83000,46,0,5.9291674812237805
536,255000,60,0,1.1112000210374295
537,377000,88,8,1.1112000210374295
538,262200,62,8,1.1112000210374295
539,165000,50,4,2.979460136275314
540,128000,58,1,5.9291674812237805
541,115000,50,1,4.284947055838429
542,219000,89,4,0.6741943298916431
543,239900,80,3,3.39577391009416
544,140000,80,0,5.9291674812237805
545,142000,84,2,7.212888553561136
546,448888,117,4,1.1112000210374295
547,443888,115,5,1.1112000210374295
548,434888,117,1,1.1112000210374295
549,457888,118,6,1.1112000210374295
550,90000,24,0,2.4358488943593373
551,198000,67,2,3.3459803855452006
552,105000,59,2,5.9291674812237805
553,210000,106,2,4.304899319797302
554,205000,82,2,2.4358488943593373
555,125000,200,1,4.284947055838429
556,667888,145,1,1.1112000210374295
557,500000,112,6,0.6741943298916431
558,500000,88,1,0.0
559,497888,82,3,1.1112000210374295
560,555888,82,3,1.1112000210374295
561,225000,58,5,1.1112000210374295
562,800000,236,1,2.1042506912594936
563,199900,104,3,3.8046748802068664
564,109000,41,1,3.9932622144311636
565,130000,53,0,4.487668778269208
566,389000,122,0,2.1042506912594936
567,550000,90,4,2.1042506912594936
568,294000,56,16,1.1112000210374295
569,440888,106,6,1.1112000210374295
570,126000,60,1,3.8046748802068664
571,215000,62,4,3.2266491406631235
572,105000,32,2,3.8046748802068664
573,182000,48,4,3.2266491406631235
574,156500,82,3,5.9291674812237805
575,960888,158,14,1.1112000210374295
576,291888,86,5,1.1112000210374295
577,276888,77,4,1.1112000210374295
578,290000,55,14,1.1112000210374295
579,565000,112,12,1.1112000210374295
580,126900,42,2,2.1042506912594936
581,225000,58,1,2.1042506912594936
582,146000,73,17,4.814441839881835
583,186000,59,13,3.39577391009416
584,150000,42,6,2.836801079475314
585,214400,67,1,2.1042506912594936
586,300000,108,3,2.1042506912594936
587,648888,76,22,1.1112000210374295
588,255000,53,14,1.1112000210374295
589,1479888,163,14,1.1112000210374295
590,388000,91,4,1.1112000210374295
591,398000,91,10,1.1112000210374295
592,400000,73,1,1.1112000210374295
593,360000,117,3,2.1042506912594936
594,285000,73,1,2.1042506912594936
595,215000,59,2,1.1112000210374295
596,173000,29,3,1.1112000210374295
597,566888,172,4,1.1112000210374295
598,950000,234,6,2.1042506912594936
599,395000,170,2,2.1042506912594936
600,300000,131,3,2.1042506912594936
601,800000,120,13,1.1112000210374295
602,645000,143,12,1.1112000210374295
603,180000,80,6,0.6741943298916431
604,1400000,140,15,1.1112000210374295
605,900000,180,5,1.253629233296969
606,373000,119,2,1.1112000210374295
607,326888,76,1,1.1112000210374295
608,208000,96,2,2.1042506912594936
609,347000,115,1,2.1042506912594936
610,235000,77,3,0.6741943298916431
611,365000,90,4,1.1112000210374295
612,365000,133,3,2.1042506912594936
613,233888,57,2,1.1112000210374295
614,164888,32,2,1.1112000210374295
615,164888,32,3,1.1112000210374295
616,166888,32,5,1.1112000210374295
617,175000,49,3,2.1091316346284366
618,210000,65,6,0.0
619,192000,120,0,2.1042506912594936
620,336888,79,1,1.1112000210374295
621,376000,87,16,1.1112000210374295
622,750000,110,15,1.1112000210374295
623,394000,92,6,1.1112000210374295
624,335000,79,1,1.1112000210374295
625,400000,105,0,2.1042506912594936
626,70000,40,-1,2.1042506912594936
627,399000,90,6,1.1112000210374295
628,465000,109,8,1.1112000210374295
629,610000,176,0,2.1042506912594936
630,265000,80,6,1.6625786996508616
631,330000,120,2,2.1042506912594936
632,499999,120,0,2.1042506912594936
633,180000,58,4,1.6625786996508616
634,704888,114,13,1.1112000210374295
635,375000,90,4,1.1112000210374295
636,315888,90,4,1.1112000210374295
637,351888,93,1,1.1112000210374295
638,302888,85,5,1.1112000210374295
639,620000,172,1,0.0
640,300000,51,15,1.1112000210374295
641,1095000,186,3,2.1042506912594936
642,452888,125,5,1.1112000210374295
643,244000,86,2,0.0
644,297000,54,12,1.1112000210374295
645,99000,39,0,1.253629233296969
646,170000,35,3,1.1112000210374295
647,290000,72,8,0.0
648,550000,180,1,2.1042506912594936
649,146900,58,1,1.3840965110666832
650,225000,70,1,2.1042506912594936
651,550000,180,3,2.1042506912594936
652,389900,120,1,2.1042506912594936
653,350000,82,2,0.0
654,286888,78,7,1.1112000210374295
655,127600,39,2,2.1042506912594936
656,328000,82,2,1.1112000210374295
657,431888,116,7,1.1112000210374295
658,398000,235,3,2.1042506912594936
659,330000,82,2,1.1112000210374295
660,150000,60,0,2.1042506912594936
661,310888,89,6,1.1112000210374295
662,250000,60,1,2.1042506912594936
663,440888,106,6,1.1112000210374295
664,599000,120,9,1.1112000210374295
665,398000,91,10,1.1112000210374295
666,228000,69,4,0.6741943298916431
667,400000,157,2,2.1042506912594936
668,499999,120,0,2.1042506912594936
669,310888,85,1,1.1112000210374295
670,593888,110,18,1.1112000210374295
671,139000,73,0,1.3840965110666832
672,350000,82,11,1.1112000210374295
673,135000,43,11,1.1277731989366053
674,155000,69,4,1.9094265619175557
675,295000,70,0,2.1042506912594936
676,132000,60,4,0.8769859073960617
677,350000,71,7,1.1112000210374295
678,243888,56,4,1.1112000210374295
679,270888,72,4,1.1112000210374295
680,236888,56,4,1.1112000210374295
681,693888,215,8,1.1112000210374295
682,230888,59,4,1.1112000210374295
683,300000,93,0,2.1042506912594936
684,271888,55,8,1.1112000210374295
685,220000,112,4,1.6625786996508616
686,165000,54,3,0.5130016008346824
687,432888,116,4,1.1112000210374295
688,252000,84,4,2.1042506912594936
689,355500,79,1,1.1112000210374295
690,412515,92,6,1.1112000210374295
691,210888,31,23,1.1112000210374295
692,210888,30,23,1.1112000210374295
693,473888,109,15,1.1112000210374295
694,420000,131,1,2.1042506912594936
695,90000,40,0,2.1042506912594936
696,510000,109,8,1.1112000210374295
697,178888,34,3,1.1112000210374295
698,177888,34,2,1.1112000210374295
699,602888,141,8,1.1112000210374295
700,262888,55,1,1.1112000210374295
701,350000,127,6,1.253629233296969
702,365000,81,1,1.1112000210374295
703,300000,51,16,1.1112000210374295
704,489000,109,13,1.1112000210374295
705,1151888,106,14,1.1112000210374295
706,1315888,137,16,1.1112000210374295
707,1142888,122,16,1.1112000210374295
708,250000,100,0,1.3840965110666832
709,375000,82,16,1.1112000210374295
710,430000,72,12,1.1112000210374295
711,105000,39,0,1.253629233296969
712,265000,30,3,1.1112000210374295
713,1370886,151,14,1.1112000210374295
714,559000,128,1,2.1042506912594936
715,89000,65,0,1.4345129655594104
716,1003888,99,37,1.1112000210374295
717,765888,219,8,1.1112000210374295
718,225000,53,3,1.1112000210374295
719,1600000,210,0,0.0
720,324888,83,3,1.1112000210374295
721,564888,152,6,1.1112000210374295
722,200000,32,3,1.1112000210374295
723,405000,88,5,1.1112000210374295
724,445888,116,6,1.1112000210374295
725,180000,81,3,2.1042506912594936
726,299000,119,3,0.6741943298916431
727,338888,95,0,1.1112000210374295
728,363888,103,0,1.1112000210374295
729,395000,158,4,2.1042506912594936
730,1095000,186,3,2.1042506912594936
731,109000,29,3,0.0
732,1160888,122,16,1.1112000210374295
733,848000,212,8,1.1112000210374295
734,888000,222,8,1.1112000210374295
735,132000,42,3,0.6741943298916431
736,399000,125,4,1.6357321765588402
737,532000,117,22,1.1112000210374295
738,479000,104,23,1.1112000210374295
739,185000,57,5,1.6625786996508616
740,320000,104,0,1.253629233296969
741,170000,68,2,1.6625786996508616
742,750000,109,14,1.1112000210374295
743,463888,111,16,1.1112000210374295
744,340000,55,16,1.1112000210374295
745,180000,72,3,1.6625786996508616
746,750000,109,14,1.1112000210374295
747,958888,153,18,1.1112000210374295
748,330000,75,1,1.1112000210374295
749,214900,75,3,0.0
750,272888,72,7,1.1112000210374295
751,309888,90,2,1.1112000210374295
752,296888,85,5,1.1112000210374295
753,230000,90,4,2.1042506912594936
754,410000,156,0,2.1042506912594936
755,245000,76,1,1.6625786996508616
756,290000,55,14,1.1112000210374295
757,390000,111,1,2.1042506912594936
758,290000,55,14,1.1112000210374295
759,112000,32,0,0.6741943298916431
760,307888,86,1,1.1112000210374295
761,350000,136,2,2.1042506912594936
762,129900,54,0,0.0
763,351888,94,2,1.1112000210374295
764,305888,89,4,1.1112000210374295
765,946888,155,11,1.1112000210374295
766,292888,81,2,1.1112000210374295
767,337888,89,6,1.1112000210374295
768,388000,91,4,1.1112000210374295
769,398000,91,10,1.1112000210374295
770,595000,195,0,2.1042506912594936
771,711888,159,12,1.1112000210374295
772,438888,115,8,1.1112000210374295
773,323888,88,2,1.1112000210374295
774,394888,100,0,1.1112000210374295
775,419000,107,3,2.1042506912594936
776,58000,17,0,1.3840965110666832
777,239000,95,3,2.1042506912594936
778,247500,55,15,1.1112000210374295
779,375000,91,4,1.1112000210374295
780,158000,41,1,2.1042506912594936
781,450000,55,17,1.1112000210374295
782,629000,114,13,1.1112000210374295
783,425888,115,7,1.1112000210374295
784,280888,85,1,1.1112000210374295
785,264888,71,1,1.1112000210374295
786,200000,110,4,0.0
787,169500,31,2,1.1112000210374295
