index,idnekretnine,Tip_nekretnine,Tip_ponude,Cena,Cena_kvadrat,Kvadratura,Sprat,Spratnost,Uknjizeno,Grejanje,Ukupan broj soba,Namestenost,Broj kupatila,Tip gradnje,Stanje objekta,Grad,Deo grada,MikroLokacija,Površina placa,Parking,Lift,Link,Distance
2885,639225,Stanovi,Prodaja,126000,3.5,36,2,5,0,,1.5,,,Novogradnja,,Beograd,Vračar, Južni bulevar,,0,1,https://sasomange.rs//p/138110046/vracar-juzni-bulevar-vojvode-hrvoja,2.534945943790705
2886,639226,Stanovi,Prodaja,275000,3.438,80,1,2,0,Centralno,3.0,,,Novogradnja,,Beograd,Vračar, Južni bulevar,,0,1,https://sasomange.rs//p/141484168/3-0-vracar-sazonova-80m2,2.534945943790705
2887,639227,Stanovi,Prodaja,264000,3.0,88,4,5,1,,3.0,,1.0,Starogradnja,,Beograd,Vračar, Hram svetog Save,,1,0,https://sasomange.rs//p/124756863/hram-svetog-save-vracar-bokeljska,1.367245700987994
2888,639228,Stanovi,Prodaja,149000,2.759,54,18,21,1,Centralno,2.0,,1.0,Starogradnja,,Beograd,Vračar, Crveni krst,,0,1,https://sasomange.rs//p/141485203/u-dobro-odrzavanoj-zgradi-id,2.698707855040707
2889,639229,Stanovi,Prodaja,165000,3.587,46,1,,1,Centralno sa kalorimetrom,1.5,,1.0,,,Beograd,Vračar, Hram svetog Save,,0,1,https://sasomange.rs//p/141311415/hitno-novija-gradnja-46m2-bez,1.367245700987994
2890,639230,Stanovi,Prodaja,385000,3.235,119,1,4,1,,4.0,,1.0,Starogradnja,Za renoviranje,Beograd,Vračar, Slavija,,0,0,https://sasomange.rs//p/139593104/salonac-u-srcu-grada-na,1.4619728006690051
2891,639231,Stanovi,Prodaja,1080000,6.0,180,1,4,1,Etažno,4.0,,,Novogradnja,,Beograd,Vračar, Gradić Pejton,,1,0,https://sasomange.rs//p/139597193/prodaja-stana-gradic-pejton-180m2,1.7344789751532068
2892,639232,Stanovi,Prodaja,370000,3.7,100,5,5,1,Centralno,4.0,,2.0,Novogradnja,,Beograd,Vračar, Kalenić pijaca,,1,1,https://sasomange.rs//p/139594776/nov-stan-na-vracaru-id,1.9138565937883534
2893,639233,Stanovi,Prodaja,387000,3.757,103,4,4,1,Centralno,4.5,,1.0,Starogradnja,,Beograd,Vračar, Neimar,,0,0,https://sasomange.rs//p/123054606/prelep-dupleks-u-mirnoj-ulici,1.5488422161721425
2894,639234,Stanovi,Prodaja,500000,3.521,142,1,5,1,Etažno,3.0,,1.0,Starogradnja,,Beograd,Vračar, Čubura,,0,0,https://sasomange.rs//p/128441185/visoko-kvalitetna-novogradnja-na-top,1.8545878532089057
2895,639235,Stanovi,Prodaja,306000,4.567,67,2,7,1,Centralno,3.0,,1.0,Starogradnja,Renoviran,Beograd,Vračar, Hram svetog Save,,0,1,https://sasomange.rs//p/139600084/3-0-vracar-hram-svetog,1.367245700987994
2896,639236,Stanovi,Prodaja,135000,3.75,36,3,4,1,TA peć,1.5,,,Starogradnja,,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/118865770/vracar-kalenic-pijaca-milesevska,1.9138565937883534
2897,639239,Stanovi,Prodaja,203280,2.989,68,1,4,1,,3.0,,1.0,Novogradnja,,Beograd,Vračar, Beogradska,,1,0,https://sasomange.rs//p/135471483/vracar-vracar-68m2-t-203280e,1.4917055342867598
2898,639240,Stanovi,Prodaja,157500,3.5,45,1,4,0,Mermerni radijatori,2.0,,1.0,Novogradnja,,Beograd,Vračar, Neimar,,0,1,https://sasomange.rs//p/138110045/vracar-neimar-vojvode-hrvoja-2,1.5488422161721425
2899,639241,Stanovi,Prodaja,140000,3.5,40,2,4,0,Mermerni radijatori,1.5,,1.0,Novogradnja,,Beograd,Vračar, Neimar,,0,1,https://sasomange.rs//p/138110049/vracar-neimar-vojvode-hrvoja-1,1.5488422161721425
2900,639243,Stanovi,Prodaja,233000,3.149,74,1,4,1,Toplotne pumpe,3.0,,1.0,Novogradnja,Lux,Beograd,Vračar, Crveni krst,,0,1,https://sasomange.rs//p/131788291/vracar-crveni-krst-cerska-74m2,2.698707855040707
2901,639244,Stanovi,Prodaja,135000,3.649,37,1,4,1,TA peć,1.0,,1.0,Starogradnja,Lux,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/135419280/kod-hrama-salonac-1-0,1.367245700987994
2902,639245,Stanovi,Prodaja,129900,2.406,54,-1,,0,,2.0,,1.0,Starogradnja,,Beograd,Vračar, Karađorđev park,,0,0,https://sasomange.rs//p/131827366/stan-54-m-sut-beograd,1.0424166291640924
2903,639246,Stanovi,Prodaja,168700,2.41,70,4,4,1,Centralno,3.0,,1.0,Starogradnja,,Beograd,Vračar, Južni bulevar,,0,0,https://sasomange.rs//p/141397382/gospodara-vucica-vracar-id-4051,2.534945943790705
2904,639249,Stanovi,Prodaja,230000,2.987,77,7,7,1,,3.0,,1.0,Novogradnja,,Beograd,Vračar, Crveni krst,,0,0,https://sasomange.rs//p/136724724/prodaja-trosoban-stan-novogradnja-metohijska,2.698707855040707
2905,639251,Stanovi,Prodaja,189000,2.52,75,3,4,1,Etažno,3.0,,1.0,Starogradnja,,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/121343683/dvostran-svetao-hitna-prodaja-id,1.9138565937883534
2906,639252,Stanovi,Prodaja,575000,2.861,201,1,4,1,Centralno,4.0,,1.0,Starogradnja,,Beograd,Vračar, Čubura,,0,1,https://sasomange.rs//p/135426372/dubljanska-cuburski-park-201m2-4,1.8545878532089057
2907,639253,Stanovi,Prodaja,250000,6.41,39,1,1,1,Centralno,2.0,,1.0,Starogradnja,Renoviran,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/114948319/vracar-renoviran-55m2-merena-kvadratura,1.9138565937883534
2908,639255,Stanovi,Prodaja,295000,4.917,60,3,5,1,Centralno,2.0,,1.0,Novogradnja,,Beograd,Vračar, Hram svetog Save,,0,1,https://sasomange.rs//p/126221778/vracar-hram-svetog-save-2,1.367245700987994
2909,639257,Stanovi,Prodaja,130000,3.023,43,0,3,1,TA peć,2.5,,1.0,Starogradnja,Izvorno stanje,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/113852720/vracar-2-5-43-53,1.367245700987994
2910,639258,Stanovi,Prodaja,189000,2.52,75,3,4,1,TA peć,3.0,,2.0,Starogradnja,Renoviran,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/138067104/vracar-kalenic-novopazarska-75m2-3,1.9138565937883534
2911,639259,Stanovi,Prodaja,204000,3.517,58,2,3,0,Centralno,2.0,,1.0,,,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/141392145/prodaja-stan-mutapova-58m2-id562,1.9138565937883534
2912,639261,Stanovi,Prodaja,340000,4.0,85,2,4,1,Centralno,3.0,,2.0,Novogradnja,Lux,Beograd,Vračar, Crveni krst,,0,1,https://sasomange.rs//p/133049343/izgradnja-vracar-lux-85m2-id,2.698707855040707
2913,639262,Stanovi,Prodaja,209000,2.75,76,4,4,1,,3.0,,,,,Beograd,Vračar, Crveni krst,,0,0,https://sasomange.rs//p/136707468/prodaja-3-0-stana-kajmakcalanska,2.698707855040707
2914,639263,Stanovi,Prodaja,371700,4.13,90,2,4,1,Centralno,4.0,,2.0,,Renoviran,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/136707466/prodaja-stana-kod-hrama-svetog,1.367245700987994
2915,639264,Stanovi,Prodaja,209900,3.28,64,2,6,1,,2.0,,1.0,Starogradnja,,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/133049634/vracar-hram-svetog-save-64m2,1.367245700987994
2916,639266,Stanovi,Prodaja,290000,3.222,90,2,3,1,Etažno,4.0,,,,Lux,Beograd,Vračar, Južni bulevar,,1,1,https://sasomange.rs//p/130417892/cerska-novogradnja-90m2,2.534945943790705
2917,639267,Stanovi,Prodaja,455000,3.5,130,2,5,1,Centralno,4.5,,1.0,Starogradnja,,Beograd,Vračar, Kalenić pijaca,,0,1,https://sasomange.rs//p/121310995/vracar-centar-130m2-garazno-mesto,1.9138565937883534
2918,639269,Stanovi,Prodaja,184000,3.228,57,0,7,1,Centralno,2.0,,1.0,Starogradnja,Izvorno stanje,Beograd,Vračar, Krunska,,0,0,https://sasomange.rs//p/130368403/vracar-krunski-venac-alekse-nenadovica,1.9739752822992167
2919,639270,Stanovi,Prodaja,170000,1.868,91,0,5,1,TA peć,3.0,,1.0,Novogradnja,,Beograd,Vračar, Crveni krst,,1,1,https://sasomange.rs//p/120651465/crveni-krst-91m2-npr-ta,2.698707855040707
2920,639272,Stanovi,Prodaja,184000,2.968,62,0,5,1,Centralno,2.0,,1.0,Novogradnja,,Beograd,Vračar, Kalenić pijaca,,1,0,https://sasomange.rs//p/130450245/vracar-2-0-62m2-id,1.9138565937883534
2921,639273,Stanovi,Prodaja,170000,2.833,60,2,3,0,TA peć,2.5,,,,,Beograd,Vračar, Beogradska,,0,1,https://sasomange.rs//p/141374786/2-5-vracar-beogradska-60m2,1.4917055342867598
2922,639274,Stanovi,Prodaja,355000,4.128,86,2,3,1,Centralno,3.0,,1.0,Starogradnja,Renoviran,Beograd,Vračar, Bulevar kralja Aleksandra,,0,1,https://sasomange.rs//p/141310246/salonac-sa-pogledom-na-crkvu,2.085138281991051
2923,639275,Stanovi,Prodaja,99000,2.829,35,0,5,1,Centralno,1.0,,1.0,Starogradnja,,Beograd,Vračar, Crveni krst,,0,1,https://sasomange.rs//p/141387132/beograd-lion-bregalnicka-id-866,2.698707855040707
2924,639276,Stanovi,Prodaja,580000,6.237,93,3,5,1,Toplotne pumpe,4.0,,2.0,Novogradnja,Lux,Beograd,Vračar, Neimar,,0,1,https://sasomange.rs//p/141286298/luksuzan-stan-na-neimaru-sa,1.5488422161721425
2925,639278,Stanovi,Prodaja,421740,2.97,142,5,6,1,Centralno,4.0,,2.0,Novogradnja,Lux,Beograd,Vračar, Karađorđev park,,0,1,https://sasomange.rs//p/131779253/vracar-novogradnja-lux-id-1046,1.0424166291640924
2926,639279,Stanovi,Prodaja,346500,3.5,99,4,9,1,Toplotne pumpe,3.0,,2.0,Novogradnja,,Beograd,Vračar, Neimar,,0,1,https://sasomange.rs//p/133032449/3-0-stan-na-vracaru,1.5488422161721425
2927,639280,Stanovi,Prodaja,625923,4.091,153,2,5,0,Centralno,4.0,,,Novogradnja,,Beograd,Vračar, Hram svetog Save,,0,1,https://sasomange.rs//p/136674995/prodaja-stan-stojana-protica-153m2,1.367245700987994
2928,639281,Stanovi,Prodaja,97000,2.487,39,-1,4,0,Centralno,2.0,,1.0,,,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/141271607/hram-svetog-save-renoviran-namesten,1.367245700987994
2929,639282,Stanovi,Prodaja,535920,4.091,131,2,4,0,Centralno,4.0,,2.0,,,Beograd,Vračar, Hram svetog Save,,0,1,https://sasomange.rs//p/136678669/prodaja-stan-stojana-protica-131m2,1.367245700987994
2930,639284,Stanovi,Prodaja,850000,4.087,208,6,6,1,Centralno,5.0,,3.0,Novogradnja,Renoviran,Beograd,Vračar, Hram svetog Save,,1,1,https://sasomange.rs//p/135387168/penthouse-na-vracaru-id-1900,1.367245700987994
2931,639285,Stanovi,Prodaja,505000,3.079,164,2,5,0,Centralno,4.0,,,Novogradnja,,Beograd,Vračar, Kalenić pijaca,,0,1,https://sasomange.rs//p/130413874/kalenic-pijaca,1.9138565937883534
2932,639287,Stanovi,Prodaja,1055000,6.029,175,1,4,0,Centralno,4.0,,1.0,Novogradnja,,Beograd,Vračar, Hram svetog Save,,0,1,https://sasomange.rs//p/124670141/vracar-hram-svetog-save-patrijarha,1.367245700987994
2933,639289,Stanovi,Prodaja,367000,3.563,103,4,4,1,Centralno,4.5,,1.0,Starogradnja,,Beograd,Vračar, Neimar,,0,1,https://sasomange.rs//p/130419602/4-5-stan-na-vracaru,1.5488422161721425
2934,639290,Stanovi,Prodaja,167000,3.151,53,5,5,1,Centralno,1.0,,1.0,Starogradnja,,Beograd,Vračar, Neimar,,0,0,https://sasomange.rs//p/124675470/odlican-stan-na-vracaru-id,1.5488422161721425
2935,639291,Stanovi,Prodaja,167000,3.275,51,5,5,1,Centralno,1.0,,1.0,Starogradnja,,Beograd,Vračar, Neimar,,0,0,https://sasomange.rs//p/124675486/odlican-stan-na-vracaru-id,1.5488422161721425
2936,639292,Stanovi,Prodaja,370000,4.512,82,7,7,1,Etažno,3.0,,1.0,Novogradnja,Lux,Beograd,Vračar, Cvetni trg,,0,1,https://sasomange.rs//p/141298924/vracar-slavija-centar-svetozara-markovica,1.6534884369126457
2937,639293,Stanovi,Prodaja,230000,3.286,70,5,5,1,Centralno,2.5,,2.0,Novogradnja,Lux,Beograd,Vračar, Crveni krst,,0,1,https://sasomange.rs//p/131710570/prodajem-stan-na-crvenom-krstu,2.698707855040707
2938,639294,Stanovi,Prodaja,430000,3.496,123,4,6,1,,3.0,,1.0,Starogradnja,,Beograd,Vračar, Slavija,,0,0,https://sasomange.rs//p/138018272/savski-venac-slavija-123m2-430000e,1.4619728006690051
2939,639295,Stanovi,Prodaja,325000,3.186,102,6,7,0,Centralno,4.0,,2.0,Novogradnja,,Beograd,Vračar, Crveni krst,,0,1,https://sasomange.rs//p/136695417/cetvorosoban-vracar-crveni-krst,2.698707855040707
2940,639296,Stanovi,Prodaja,410000,2.547,161,5,5,1,Centralno,3.0,,3.0,Starogradnja,Renoviran,Beograd,Vračar, Crveni krst,,1,1,https://sasomange.rs//p/133272294/trosoban-stan-na-crvenom-krstu,2.698707855040707
2941,639297,Stanovi,Prodaja,215000,3.028,71,3,4,0,TA peć,2.0,,,,,Beograd,Vračar, Kalenić pijaca,,0,1,https://sasomange.rs//p/131741238/vracar-kalenic-pijaca-maksima-gorkog,1.9138565937883534
2942,639298,Stanovi,Prodaja,170000,3.333,51,6,6,1,,2.0,,,,Izvorno stanje,Beograd,Vračar, Maksima Gorkog,,0,0,https://sasomange.rs//p/124607784/prodaja-stana-na-vracaru-2,1.9426883055731563
2943,639300,Stanovi,Prodaja,360000,4.0,90,1,3,0,TA peć,2.0,,1.0,,,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/141190180/prodaja-stan-njegoseva-90m2-id559,1.9138565937883534
2944,639301,Stanovi,Prodaja,249000,3.458,72,4,6,0,Centralno,3.0,,1.0,Starogradnja,,Beograd,Vračar, Pravni fakultet,,0,1,https://sasomange.rs//p/141188744/crkva-svetog-marka-resavska-72,2.1679161804959586
2945,639303,Stanovi,Prodaja,540000,3.6,150,4,5,0,Podno,5.0,,,Novogradnja,,Beograd,Vračar, Hram svetog Save,,0,1,https://sasomange.rs//p/120565424/hram-svetog-save,1.367245700987994
2946,639304,Stanovi,Prodaja,219900,2.682,82,4,5,1,Centralno,3.0,,1.0,Starogradnja,,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/131745410/vracar-pozarevacka-id-3449,1.9138565937883534
2947,639305,Stanovi,Prodaja,400000,5.839,69,1,6,1,Centralno,2.0,,1.0,Novogradnja,Lux,Beograd,Vračar, Kalenić pijaca,,1,1,https://sasomange.rs//p/130077102/prodaja-stana-vracar-68-5m2,1.9138565937883534
2948,639307,Stanovi,Prodaja,360000,4.0,90,1,3,1,,3.0,,1.0,Starogradnja,,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/135360671/vracar-kalenic-90m2-360000e,1.9138565937883534
2949,639308,Stanovi,Prodaja,240000,2.857,84,2,4,1,,4.0,,1.0,Starogradnja,,Beograd,Vračar, Crveni krst,,0,0,https://sasomange.rs//p/135360467/crveni-krst-84m2-ii-eg,2.698707855040707
2950,639309,Stanovi,Prodaja,213500,3.5,61,4,7,1,Centralno,2.5,,1.0,Novogradnja,Izvorno stanje,Beograd,Vračar, Južni bulevar,,0,1,https://sasomange.rs//p/130376087/vracar-gospodara-vucica-61m2-id,2.534945943790705
