index,idnekretnine,Tip_nekretnine,Tip_ponude,Cena,Cena_kvadrat,Kvadratura,Sprat,Spratnost,Uknjizeno,Grejanje,Ukupan broj soba,Namestenost,Broj kupatila,Tip gradnje,Stanje objekta,Grad,Deo grada,MikroLokacija,Površina placa,Parking,Lift,Link,Distance
1,630883,Stanovi,Prodaja,545000,3.658,149,6,7,1,Centralno,4.0,,2.0,Novogradnja,Lux,Beograd,Novi Beograd, A blok (Blok 67a),,1,0,https://sasomange.rs//p/140722418/blok-a-stan-111kvm-terasa?ref=SuperSasoAdBasePromotion,
2,630884,Stanovi,Prodaja,420000,3.206,131,2,3,0,Centralno,4.0,,,,,Beograd,Zvezdara, Vukov Spomenik,,0,1,https://sasomange.rs//p/119820298/zvezdara-vukov-spomenik-cirila-i?ref=SuperSasoAdBasePromotion,2.4358488943593373
3,630928,Stanovi,Prodaja,112200,2.55,44,0,5,0,Etažno,2.0,,1.0,Novogradnja,,Beograd,Zvezdara, Severni bulevar,,0,0,https://sasomange.rs//p/133465038/odlican-44-plus-30-plus,3.5695249238901785
4,630971,Stanovi,Prodaja,105000,2.234,47,2,4,1,Etažno,2.0,,1.0,Starogradnja,,Beograd,Zvezdara, Mirijevo,,1,0,https://sasomange.rs//p/142047434/odlican-dvosoban-stan-id-123791,5.9291674812237805
5,630973,Stanovi,Prodaja,175000,2.16,81,7,9,0,Centralno,3.0,,2.0,Starogradnja,,Beograd,Novi Beograd, Stara Bežanija,,0,1,https://sasomange.rs//p/142047827/odlican-stan-81m2-blok-64,6.585050268691708
6,630986,Stanovi,Prodaja,209000,3.603,58,2,4,1,Centralno,2.0,,1.0,Starogradnja,,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/137217970/vracar-njegoseva-id-3659,1.9138565937883534
7,631000,Stanovi,Prodaja,131000,1.899,69,1,4,1,Etažno,3.0,,1.0,Novogradnja,,Beograd,Novi Beograd, Vojvođanska ulica,,1,0,https://sasomange.rs//p/141857967/lux-stanovi-u-izgradnji-kod,
8,631021,Stanovi,Prodaja,200000,2.439,82,1,4,1,Centralno,3.0,,1.0,Starogradnja,,Beograd,Novi Beograd, Bežanijska kosa 1,,0,1,https://sasomange.rs//p/138551841/partizanske-avijacije-bezanijska-kosa-1,6.214373520575912
9,631023,Stanovi,Prodaja,74000,1.947,38,1,4,1,Etažno,2.0,,1.0,Novogradnja,,Beograd,Novi Beograd, Ledine,,1,0,https://sasomange.rs//p/141863946/lux-stan-u-stambenom-kompleksu,8.326576335081576
10,631027,Stanovi,Prodaja,195000,2.6,75,3,4,1,TA peć,2.0,,1.0,Starogradnja,Lux,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/142040299/stan-kod-hrama-za-prodaju,1.367245700987994
11,631032,Stanovi,Prodaja,375000,4.518,83,17,23,0,Centralno,3.0,,,Novogradnja,,Beograd,Savski venac, Beograd na vodi,,1,1,https://sasomange.rs//p/142027606/beograd-na-vodi-parkview,1.1112000210374295
12,631035,Stanovi,Prodaja,689500,4.507,153,4,5,0,Centralno sa kalorimetrom,4.0,,2.0,Novogradnja,Lux,Beograd,Vračar, Hram svetog Save,,0,1,https://sasomange.rs//p/141857038/odlican-4-0-novogradnja-hram,1.367245700987994
13,631038,Stanovi,Prodaja,589500,4.5,131,3,4,0,Centralno,4.0,,2.0,Novogradnja,Lux,Beograd,Vračar, Hram svetog Save,,0,1,https://sasomange.rs//p/141863933/odlican-4-0-novogradnja-hram,1.367245700987994
14,631046,Stanovi,Prodaja,224500,3.301,68,2,7,1,,3.0,,1.0,Starogradnja,,Beograd,Stari grad, 25. maj,,1,0,https://sasomange.rs//p/137216164/prodaja-trosoban-stan-dunavski-kej,3.8829398193223117
15,631063,Stanovi,Prodaja,245000,2.988,82,2,5,1,Centralno,3.0,,1.0,Starogradnja,Renoviran,Beograd,Novi Beograd, Hotel Jugoslavija,,0,1,https://sasomange.rs//p/137211021/bulevar-nikole-tesle-hotel-yu,4.575169760194894
16,631067,Stanovi,Prodaja,185000,3.033,61,7,8,1,Centralno,3.0,,1.0,Starogradnja,,Beograd,Zvezdara, Lion,,0,1,https://sasomange.rs//p/133461960/lion-trosoban-zgrada-sa-fasadnom,3.39577391009416
17,631087,Stanovi,Prodaja,165000,3.587,46,1,4,1,Centralno,2.0,,,,Izvorno stanje,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/142034717/prodaja-stana-vracar-stojana-protica,1.367245700987994
18,631088,Stanovi,Prodaja,335000,2.233,150,4,5,1,,4.0,,,Novogradnja,Renoviran,Beograd,Zvezdara, Lion,,0,0,https://sasomange.rs//p/121744624/prodaja-stana-lion-150m2-lux,3.39577391009416
19,631094,Stanovi,Prodaja,99000,3.0,33,0,1,1,TA peć,2.0,,1.0,Starogradnja,Renoviran,Beograd,Novi Beograd, Staro sajmište (Blok 18),,1,0,https://sasomange.rs//p/137670948/stan-sa-prednostima-kuce-id,1.93046391602077
20,631098,Stanovi,Prodaja,128390,3.707,35,0,1,1,Etažno,2.0,,1.0,Starogradnja,Renoviran,Beograd,Stari grad, Gundulićev venac,,0,0,https://sasomange.rs//p/136371901/visefunkcionalni-prostor-u-srcu-dorcola?ref=ColoredAdBasePromotion,3.01102797197858
21,631107,Stanovi,Prodaja,150000,2.273,66,0,6,1,Centralno,2.5,,,,,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/137202142/stan-beograd-vracar-66m2,1.367245700987994
22,631110,Stanovi,Prodaja,140000,2.121,66,0,5,1,Etažno,2.5,,,,,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/137202143/stan-beograd-vracar-66m2,1.367245700987994
23,631116,Stanovi,Prodaja,285000,4.586,62,8,23,1,Centralno,2.0,,1.0,Novogradnja,Lux,Beograd,Savski venac, Beograd na vodi,,1,0,https://sasomange.rs//p/142033294/nov-dvosoban-stan-na-prodaju,1.1112000210374295
24,631135,Stanovi,Prodaja,120000,3.243,37,2,4,1,TA peć,1.5,,1.0,Starogradnja,,Beograd,Zvezdara, Vukov Spomenik,,0,0,https://sasomange.rs//p/138548625/zvezdara-ruzveltova-kod-vuka-37m2,2.4358488943593373
25,631143,Stanovi,Prodaja,260000,2.955,88,5,9,1,Centralno,3.0,,1.0,Starogradnja,Renoviran,Beograd,Novi Beograd, B92 (Blok 30),,0,1,https://sasomange.rs//p/138549630/blok-30-merkator-trosoban-stan,3.9068594937586565
26,631147,Stanovi,Prodaja,129000,3.071,42,7,7,1,Centralno,1.5,,1.0,Starogradnja,Izvorno stanje,Beograd,Zvezdara, Denkova bašta,,1,1,https://sasomange.rs//p/140153980/stan-za-preporuku-uknjizen-odmah,3.8324414104227666
27,631148,Stanovi,Prodaja,135000,2.25,60,0,7,1,Centralno,2.0,,1.0,Starogradnja,Renoviran,Beograd,Novi Beograd, Arena,,0,1,https://sasomange.rs//p/140156143/bulevar-zorana-djindjica-arena-novi,2.8979650008593345
28,631150,Stanovi,Prodaja,275000,3.274,84,5,7,0,Centralno,3.0,,,Novogradnja,,Beograd,Novi Beograd, Sava centar,,0,1,https://sasomange.rs//p/134652995/park-apartmani,2.4930443215423934
29,631152,Stanovi,Prodaja,133000,2.217,60,4,4,0,Centralno,2.0,,1.0,Novogradnja,,Beograd,Zvezdara, Kluz,,0,1,https://sasomange.rs//p/137214214/kluz-2-0-terasa-dusana,4.949355181661503
30,631153,Stanovi,Prodaja,318000,3.029,105,1,3,1,Gas,4.0,,1.0,Starogradnja,,Beograd,Novi Beograd, Bežanijska kosa 1,,0,0,https://sasomange.rs//p/138548621/partizanske-avijacije-bezanijska-kosa-1,6.214373520575912
31,631159,Stanovi,Prodaja,185000,2.151,86,11,11,1,Centralno,3.5,,2.0,Starogradnja,Izvorno stanje,Beograd,Novi Beograd, Blok 63,,0,1,https://sasomange.rs//p/142027412/mozda-je-ovo-stan-za,5.798963754041486
32,631161,Stanovi,Prodaja,85000,2.5,34,0,4,1,Centralno,1.5,,1.0,Starogradnja,,Beograd,Zvezdara, Učiteljsko naselje,,0,0,https://sasomange.rs//p/142032123/uciteljsko-naselje-raljska,4.443990198890572
33,631168,Stanovi,Prodaja,375000,3.44,109,3,4,0,Centralno,4.0,,,Starogradnja,,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/137211182/dizajnirani-porodicni-stan-kod-hrama,1.367245700987994
34,631169,Stanovi,Prodaja,244673,2.95,83,0,3,0,Centralno,3.0,,,Novogradnja,,Beograd,Zvezdara, Zvezdarska šuma,,0,1,https://sasomange.rs//p/137211189/prodaja-3-0-soban-zvezdarska,4.304899319797302
35,631170,Stanovi,Prodaja,151000,2.397,63,0,,0,Centralno,2.5,,,Starogradnja,,Beograd,Zvezdara, Gradska bolnica,,0,0,https://sasomange.rs//p/137211179/udoban-porodican-stan-u-zelenom,3.8046748802068664
36,631178,Stanovi,Prodaja,115000,2.17,53,1,6,1,Etažno,3.0,,1.0,Novogradnja,Lux,Beograd,Zvezdara, Veliki Mokri Lug,,1,1,https://sasomange.rs//p/135855647/prodaja-stana-vojvode-vlahovica-3,7.212888553561136
37,631180,Stanovi,Prodaja,225000,2.344,96,10,15,1,Centralno,3.5,,1.0,Starogradnja,,Beograd,Novi Beograd, Kineski tržni centar (Blok 70),,0,1,https://sasomange.rs//p/137211159/jurija-gagarina-blok-70-novi,
38,631181,Stanovi,Prodaja,180000,2.195,82,2,7,1,Centralno,3.0,,1.0,Starogradnja,Renoviran,Beograd,Novi Beograd, Arena,,0,1,https://sasomange.rs//p/134655068/bulevar-arsenija-carnojevica-arena-novi,2.8979650008593345
39,631184,Stanovi,Prodaja,75850,1.85,41,2,4,1,Etažno,2.0,,1.0,Novogradnja,Lux,Beograd,Novi Beograd, Ledine,,1,1,https://sasomange.rs//p/137211216/ledine-novogradnja-lux-id-1292,8.326576335081576
40,631186,Stanovi,Prodaja,175000,2.134,82,0,8,1,Centralno,4.0,,2.0,Novogradnja,Renoviran,Beograd,Novi Beograd, Blok 61,,0,1,https://sasomange.rs//p/133459030/blok-61-82m2-vpr-cg,6.561191024752818
41,631187,Stanovi,Prodaja,107300,1.85,58,1,4,1,Etažno,2.5,,1.0,Novogradnja,Lux,Beograd,Novi Beograd, Ledine,,0,1,https://sasomange.rs//p/137211215/ledine-novogradnja-lux-id-1293,8.326576335081576
42,631188,Stanovi,Prodaja,130000,2.889,45,0,17,1,Centralno,1.5,,1.0,Starogradnja,,Beograd,Novi Beograd, Blok 62,,0,1,https://sasomange.rs//p/137211352/izuzetna-lokacija-polozaj-raspored-id,6.175779306746362
43,631189,Stanovi,Prodaja,110000,2.973,37,0,17,1,Centralno,1.5,,1.0,Starogradnja,,Beograd,Novi Beograd, Blok 62,,0,1,https://sasomange.rs//p/137211353/stan-na-izuzetnoj-lokaciji-id,6.175779306746362
44,631190,Stanovi,Prodaja,120000,1.846,65,0,15,1,Centralno,3.0,,1.0,Starogradnja,,Beograd,Novi Beograd, Enjub (Blok 45),,0,1,https://sasomange.rs//p/132281328/vredi-pogledati-izuzetna-lokacija-id,
45,631191,Stanovi,Prodaja,102000,2.55,40,0,,0,Centralno,1.5,,,Starogradnja,,Beograd,Zvezdara, Gradska bolnica,,0,0,https://sasomange.rs//p/137211178/dobro-organizovan-i-rentabilan-stan,3.8046748802068664
46,631194,Stanovi,Prodaja,350000,2.778,126,2,3,0,,4.0,,,Starogradnja,,Beograd,Zvezdara, Zvezdarska šuma,,0,1,https://sasomange.rs//p/137211165/na-prodaju-cetvorosoban-stan-na,4.304899319797302
47,631195,Stanovi,Prodaja,109694,2.6,42,1,3,0,,2.0,,,Novogradnja,,Beograd,Zvezdara, Severni bulevar,,0,1,https://sasomange.rs//p/137211176/novogradnja-u-neposrednoj-blizini-srevernog,3.5695249238901785
48,631196,Stanovi,Prodaja,307000,3.411,90,1,,0,Centralno,4.0,,,Starogradnja,,Beograd,Savski venac, Balkanska,,0,0,https://sasomange.rs//p/137211190/poslovni-prostor-balkanska-90-plus,1.5690536769939698
49,631197,Stanovi,Prodaja,240000,3.288,73,1,4,0,Centralno,3.0,,,Starogradnja,,Beograd,Stari grad, Zeleni venac,,0,0,https://sasomange.rs//p/137211192/odlican-trosoban-stan-zeleni-venac,2.320570769957847
50,631198,Stanovi,Prodaja,620000,3.351,185,1,2,0,,4.5,,,Starogradnja,,Beograd,Savski venac, Dedinje,,1,0,https://sasomange.rs//p/137211168/izuzetan-dupleks-na-mirnoj-lokaciji,2.1042506912594936
51,631199,Stanovi,Prodaja,274652,2.8,98,0,3,0,Centralno,3.0,,,Starogradnja,,Beograd,Zvezdara, Zvezdarska šuma,,0,1,https://sasomange.rs//p/137211188/prodaja-3-0-soban-zvezdarska,4.304899319797302
52,631200,Stanovi,Prodaja,247680,2.984,83,2,4,0,Toplotne pumpe,3.0,,1.0,Novogradnja,Lux,Beograd,Vračar, Crveni krst,,0,1,https://sasomange.rs//p/137197205/lux-3-0-soban-stan,2.698707855040707
53,631201,Stanovi,Prodaja,130000,2.453,53,0,4,0,TA peć,3.0,,,,,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/138546420/vracar-kalenic-golsvordijeva-53m2,1.9138565937883534
54,631209,Stanovi,Prodaja,75000,2.273,33,-1,5,1,Centralno,1.0,,1.0,Starogradnja,,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/132281199/vracar-id-3475,1.9138565937883534
55,631219,Stanovi,Prodaja,260624,2.8,93,0,,0,Centralno,3.0,,,Novogradnja,,Beograd,Zvezdara, Zvezdarska šuma,,0,1,https://sasomange.rs//p/137211181/prodaja-3-0-soban-zvezdarska,4.304899319797302
56,631234,Stanovi,Prodaja,307888,4.811,64,0,15,1,Centralno,2.0,,1.0,Novogradnja,Lux,Beograd,Savski venac, Beograd na vodi,,0,1,https://sasomange.rs//p/137211162/bw-kings-park-sa-bastom,1.1112000210374295
57,631250,Stanovi,Prodaja,295000,2.98,99,2,2,0,,5.0,,,Starogradnja,,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/126720321/vracar-hram-svetog-save-lamartinova,1.367245700987994
58,631252,Stanovi,Prodaja,101000,2.104,48,0,4,0,,2.5,,,,,Beograd,Zvezdara, Mirijevo,,0,1,https://sasomange.rs//p/140153158/zvezdara-mirijevo-dusana-radovica-48m2,5.9291674812237805
59,631253,Stanovi,Prodaja,360000,4.0,90,1,4,1,TA peć,2.0,,1.0,Starogradnja,Renoviran,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/139541698/njegoseva-kalenic-pijaca-90m2-salonski,1.9138565937883534
60,631260,Stanovi,Prodaja,278820,2.998,93,1,4,0,Toplotne pumpe,4.0,,1.0,Novogradnja,Lux,Beograd,Vračar, Crveni krst,,0,1,https://sasomange.rs//p/137196195/lux-4-0-soban-stan,2.698707855040707
61,631266,Stanovi,Prodaja,170000,2.073,82,0,4,1,Centralno,3.0,,2.0,Novogradnja,Izvorno stanje,Beograd,Vračar, Južni bulevar,,1,1,https://sasomange.rs//p/130940893/prodaja-3-0-vracar-gospodara,2.534945943790705
62,631269,Stanovi,Prodaja,181000,2.235,81,1,2,1,Centralno,3.0,,1.0,Starogradnja,,Beograd,Novi Beograd, Bežanijska kosa 2,,0,0,https://sasomange.rs//p/130941048/raska-dimitrijevica-81m2-plus-70m2,8.291903580663314
63,631274,Stanovi,Prodaja,530000,2.246,236,1,2,1,Gas,6.0,,2.0,Starogradnja,Renoviran,Beograd,Savski venac, Dedinje,,1,0,https://sasomange.rs//p/131893449/dupleks-sa-dva-parking-mesta,2.1042506912594936
64,631275,Stanovi,Prodaja,306900,3.3,93,4,5,0,Centralno,4.0,,2.0,Novogradnja,Lux,Beograd,Stari grad, Centar,,0,1,https://sasomange.rs//p/138358224/cetvorosoban-stan-kod-botanicke-baste,
65,631276,Stanovi,Prodaja,155000,1.845,84,1,5,0,,3.0,,,,,Beograd,Zvezdara, Severni bulevar,,0,0,https://sasomange.rs//p/138547733/zvezdara-severni-bulevar-ledinacka-84m2,3.5695249238901785
66,631277,Stanovi,Prodaja,400000,4.167,96,8,8,0,Centralno,4.0,,,Novogradnja,Lux,Beograd,Vračar, Crveni krst,,0,1,https://sasomange.rs//p/136880530/luks-cetvorosoban-stan-na-crvenom,2.698707855040707
67,631279,Stanovi,Prodaja,190000,2.879,66,1,6,1,Centralno,2.0,,1.0,Starogradnja,,Beograd,Stari grad, Studentski trg,,0,1,https://sasomange.rs//p/138546358/visnjiceva-kralja-petra-id-42785,2.923542182699003
68,631280,Stanovi,Prodaja,350000,3.043,115,1,6,1,,4.0,,1.0,Starogradnja,,Beograd,Novi Beograd, Super Vero (Blok 24),,0,0,https://sasomange.rs//p/123669768/arena-novi-beograd-antifasisticke-borbe,
69,631281,Stanovi,Prodaja,285000,3.276,87,0,5,1,Centralno,4.0,,1.0,Starogradnja,Izvorno stanje,Beograd,Vračar, Krunska,,0,0,https://sasomange.rs//p/139848893/salonski-stan-na-krunskom-vencu,1.9739752822992167
70,631282,Stanovi,Prodaja,95000,1.948,49,3,3,1,Etažno,3.0,,1.0,Novogradnja,,Beograd,Novi Beograd, Ledine,,1,0,https://sasomange.rs//p/140024662/lux-stan-sa-najlepsim-pogledom,8.326576335081576
71,631289,Stanovi,Prodaja,130000,3.25,40,2,5,1,TA peć,1.5,,1.0,Starogradnja,Za renoviranje,Beograd,Zvezdara, Lion,,0,1,https://sasomange.rs//p/138544178/prestizna-lokacija-bregalnicka-id-1370,3.39577391009416
72,631295,Stanovi,Prodaja,145000,1.543,94,5,5,0,Centralno,5.0,,,,,Beograd,Zvezdara, Mirijevo,,0,1,https://sasomange.rs//p/138544232/zvezdara-mirijevo-iv-ljubise-miodragovica,5.9291674812237805
73,631296,Stanovi,Prodaja,276888,5.034,55,1,15,1,Centralno,2.0,,1.0,Novogradnja,Lux,Beograd,Savski venac, Beograd na vodi,,0,1,https://sasomange.rs//p/138544168/bw-kings-park-pogled-na,1.1112000210374295
74,631306,Stanovi,Prodaja,105000,2.561,41,2,2,1,Centralno,2.0,,1.0,Starogradnja,,Beograd,Novi Beograd, Kineski tržni centar (Blok 70),,0,0,https://sasomange.rs//p/142026728/omladinskih-brigada-savski-kej-id,
75,631308,Stanovi,Prodaja,155000,3.163,49,1,5,1,Norveški radijatori,2.0,,1.0,Novogradnja,,Beograd,Vračar, Crveni krst,,0,1,https://sasomange.rs//p/142026743/vracar-milesevska-id-2024,2.698707855040707
76,631314,Stanovi,Prodaja,360000,3.913,92,1,4,1,Centralno,3.0,,1.0,Starogradnja,,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/142026178/slavija-78m2-plus-2-lodje14m2,1.367245700987994
77,631321,Stanovi,Prodaja,390888,4.343,90,0,15,1,Centralno,3.0,,2.0,Novogradnja,Lux,Beograd,Savski venac, Beograd na vodi,,0,1,https://sasomange.rs//p/137206433/bw-kings-park-sa-privatnom,1.1112000210374295
78,631324,Stanovi,Prodaja,294888,3.511,84,0,15,1,Centralno,3.0,,2.0,Novogradnja,Lux,Beograd,Savski venac, Beograd na vodi,,0,1,https://sasomange.rs//p/137206431/bw-kings-park-stan-sa,1.1112000210374295
79,631325,Stanovi,Prodaja,837888,4.815,174,15,15,1,Centralno,4.0,,3.0,Novogradnja,Lux,Beograd,Savski venac, Beograd na vodi,,0,1,https://sasomange.rs//p/137206432/bw-kings-park-luksuzan-penthaus,1.1112000210374295
80,631326,Stanovi,Prodaja,611888,4.026,152,15,15,1,Centralno,4.0,,3.0,Novogradnja,Lux,Beograd,Savski venac, Beograd na vodi,,0,1,https://sasomange.rs//p/137206434/beograd-na-vodi-penthaus-u,1.1112000210374295
81,631327,Stanovi,Prodaja,518888,4.151,125,0,15,1,Centralno,4.0,,3.0,Novogradnja,Lux,Beograd,Savski venac, Beograd na vodi,,0,1,https://sasomange.rs//p/137206435/bw-kings-park-sa-bastom,1.1112000210374295
82,631328,Stanovi,Prodaja,872888,6.176,141,11,25,0,,3.0,,2.0,,,Beograd,Savski venac, Beograd na vodi,,0,0,https://sasomange.rs//p/132279601/bw-riviera-stan-od-141m2,1.1112000210374295
83,631332,Stanovi,Prodaja,701888,4.471,157,10,15,1,,5.0,,1.0,Novogradnja,,Beograd,Savski venac, Beograd na vodi,,0,0,https://sasomange.rs//p/126718643/ekskluzivan-petosoban-stan-bw-kings,1.1112000210374295
84,631336,Stanovi,Prodaja,271888,3.531,77,2,8,1,,3.0,,1.0,Novogradnja,,Beograd,Savski venac, Beograd na vodi,,0,0,https://sasomange.rs//p/126718361/dvostrano-orijentisan-trosoban-stan-u,1.1112000210374295
85,631337,Stanovi,Prodaja,119000,2.245,53,0,8,1,Centralno,2.5,,1.0,Starogradnja,,Beograd,Novi Beograd, Dr Ivana Ribara,,0,1,https://sasomange.rs//p/133458230/dr-ivana-ribara-blok-72,6.580866223735041
86,631348,Stanovi,Prodaja,205000,2.733,75,4,6,1,Centralno,3.0,,1.0,Starogradnja,Izvorno stanje,Beograd,Novi Beograd, Paviljoni,,0,0,https://sasomange.rs//p/133458248/novi-beograd-paviljoni-3-0,5.586004149548912
87,631439,Stanovi,Prodaja,310000,2.925,106,3,6,1,Etažno,4.0,,2.0,Novogradnja,,Beograd,Vračar, Kalenić pijaca,,0,1,https://sasomange.rs//p/133458613/maksima-gorkog-116m2-id-1673,1.9138565937883534
88,631455,Stanovi,Prodaja,525200,2.666,197,5,6,1,Centralno,4.0,,3.0,Novogradnja,Lux,Beograd,Vračar, Hram svetog Save,,1,1,https://sasomange.rs//p/132274786/vracar-hram-sv-save-nebojsina,1.367245700987994
89,631458,Stanovi,Prodaja,180000,2.813,64,6,8,1,Centralno,2.0,,1.0,Starogradnja,,Beograd,Novi Beograd, Blok 70a,,1,1,https://sasomange.rs//p/141863796/prodaja-stana,4.086195200867035
90,631465,Stanovi,Prodaja,225000,2.848,79,5,5,1,Centralno sa kalorimetrom,3.0,,1.0,Novogradnja,Lux,Beograd,Vračar, Crveni krst,,0,1,https://sasomange.rs//p/141857843/vracar-sazonova-namesten-79m2-3,2.698707855040707
91,631469,Stanovi,Prodaja,88000,4.0,22,-1,,0,Centralno,1.0,,,,,Beograd,Vračar, Slavija,,0,0,https://sasomange.rs//p/140144335/vracar-slavija-svetog-save-22m2,1.4619728006690051
92,631477,Stanovi,Prodaja,160450,2.6,62,0,2,0,,3.0,,,Novogradnja,,Beograd,Zvezdara, Denkova bašta,,0,1,https://sasomange.rs//p/142024559/zvezdara-denkova-basta-dr-velizara,3.8324414104227666
93,631478,Stanovi,Prodaja,164500,2.599,63,2,2,0,,3.0,,,Novogradnja,,Beograd,Zvezdara, Denkova bašta,,0,1,https://sasomange.rs//p/142024558/zvezdara-denkova-basta-dr-velizara,3.8324414104227666
94,631479,Stanovi,Prodaja,104000,2.598,40,0,2,0,,2.0,,,Novogradnja,,Beograd,Zvezdara, Denkova bašta,,0,1,https://sasomange.rs//p/142024560/zvezdara-denkova-basta-dr-velizara,3.8324414104227666
95,631489,Stanovi,Prodaja,99000,2.829,35,0,5,0,Centralno,1.0,,1.0,Novogradnja,Izvorno stanje,Beograd,Vračar, Crveni krst,,0,0,https://sasomange.rs//p/141863787/jednosoban-stan-sa-dvoristem-na,2.698707855040707
96,631491,Stanovi,Prodaja,168000,2.8,60,1,4,1,,3.0,,,,Izvorno stanje,Beograd,Zvezdara, Bulbulder,,1,0,https://sasomange.rs//p/137209694/prodaja-3-0-stana-zvezdarska,3.3459803855452006
97,631493,Stanovi,Prodaja,119000,2.429,49,0,8,0,Centralno,2.5,,1.0,Starogradnja,,Beograd,Novi Beograd, Stara Bežanija,,0,1,https://sasomange.rs//p/134650420/dvoiposoban-stan-blok-72-49,6.585050268691708
98,631509,Stanovi,Prodaja,150000,1.899,79,2,4,0,Centralno,4.0,,1.0,,,Beograd,Zvezdara, Mirijevo,,0,1,https://sasomange.rs//p/137209439/zvezdara-mirijevo-milivoja-perovica,5.9291674812237805
99,631511,Stanovi,Prodaja,225000,2.911,77,0,4,1,Centralno,3.0,,1.0,Novogradnja,,Beograd,Vračar, Čubura,,0,1,https://sasomange.rs//p/138541718/3-0-stan-atelje-na,1.8545878532089057
100,631540,Stanovi,Prodaja,149500,2.623,57,3,5,1,Centralno,2.0,,1.0,Starogradnja,Izvorno stanje,Beograd,Novi Beograd, Paviljoni,,0,1,https://sasomange.rs//p/139848872/namesten-dvosoban-stan-generala-zdanova,5.586004149548912
101,631543,Stanovi,Prodaja,725400,6.655,109,4,4,1,Centralno,4.0,,2.0,Novogradnja,Lux,Beograd,Vračar, Hram svetog Save,,0,1,https://sasomange.rs//p/141857802/vracar-hram-svetog-save-dubljanska,1.367245700987994
102,631548,Stanovi,Prodaja,169775,2.5,68,0,,0,Centralno sa kalorimetrom,2.0,,,Novogradnja,,Beograd,Novi Beograd, Stara Bežanija,,0,0,https://sasomange.rs//p/123651213/kosa-kvart-bezanijska-kosa-dvosoban,6.585050268691708
103,631554,Stanovi,Prodaja,160000,2.667,60,5,6,1,TA peć,2.0,,,,,Beograd,Stari grad, Skupština,,0,0,https://sasomange.rs//p/126662310/stari-grad-centar-palmoticeva-2,2.326402454821793
104,631555,Stanovi,Prodaja,280000,3.182,88,6,7,0,Centralno,3.5,,,Starogradnja,,Beograd,Stari grad, Kalemegdan,,1,1,https://sasomange.rs//p/126662307/stari-grad-cara-urosa-3,3.3054993590538073
105,631563,Stanovi,Prodaja,92000,2.19,42,1,4,1,Etažno,2.5,,1.0,Novogradnja,,Beograd,Zvezdara, Zvezdarska padina,,1,0,https://sasomange.rs//p/134651507/stan-42m2-vladimira-mitrovica-id,
106,631567,Stanovi,Prodaja,278820,2.998,93,2,4,0,Toplotne pumpe,4.0,,1.0,Novogradnja,Lux,Beograd,Vračar, Crveni krst,,0,1,https://sasomange.rs//p/137197153/lux-4-0-soban-stan,2.698707855040707
107,631579,Stanovi,Prodaja,125000,2.551,49,0,8,1,Centralno,2.0,,1.0,Starogradnja,,Beograd,Novi Beograd, Dr Ivana Ribara,,0,1,https://sasomange.rs//p/133445770/novi-beograd-blok-72,6.580866223735041
108,631580,Stanovi,Prodaja,329000,3.357,98,5,7,1,Centralno,3.0,,2.0,Starogradnja,,Beograd,Vračar, Hram svetog Save,,0,1,https://sasomange.rs//p/137204756/odlican-stan-na-vracaru-id,1.367245700987994
109,631599,Stanovi,Prodaja,135000,1.957,69,4,4,1,Centralno,2.5,,1.0,Starogradnja,Izvorno stanje,Beograd,Novi Beograd, Blok 37,,0,0,https://sasomange.rs//p/134650221/blok-37-2-5-69m2,5.1341397107445985
110,631604,Stanovi,Prodaja,132000,2.694,49,1,4,1,Centralno,2.0,,1.0,,,Beograd,Zvezdara, Gradska bolnica,,0,0,https://sasomange.rs//p/142012390/odlican-dvosoban-stan-kod-gradske,3.8046748802068664
111,631624,Stanovi,Prodaja,160200,2.5,64,0,,0,Centralno sa kalorimetrom,2.0,,,Novogradnja,,Beograd,Novi Beograd, Stara Bežanija,,0,0,https://sasomange.rs//p/123651159/kosa-kvart-bezanijska-kosa-dvosoban,6.585050268691708
112,631625,Stanovi,Prodaja,151296,2.4,63,0,,0,Centralno sa kalorimetrom,2.0,,,Novogradnja,,Beograd,Novi Beograd, Stara Bežanija,,0,0,https://sasomange.rs//p/123651183/kosa-kvart-bezanijska-kosa-dvosoban,6.585050268691708
113,631627,Stanovi,Prodaja,165342,2.55,65,1,,0,Centralno sa kalorimetrom,2.0,,,Novogradnja,,Beograd,Novi Beograd, Stara Bežanija,,0,0,https://sasomange.rs//p/123651146/kosa-kvart-bezanijska-kosa-dvosoban,6.585050268691708
